"Id","Material","Title","Genre","Department","Subject","Language","Publisher","Author","Year","Isbn Code"
"3647","Books","World Religions: the Spirit Searching","Humanities & Social Science","Religion & Theosophy","Theosophy","English","Global Open Text-Books","Jody Ondich, Lake Superior College","2021","OPENTEXT136"
"3646","Books","Learning in the Digital Age","Humanities & Social Science","Education & Early Childhood Education","Educational Technology","English","Global Open Text-Books","Tutaleni Asino, Oklahoma State University","2021","OPENTEXT135"
"3645","Books","The Bright Continent: African Art History","Humanities & Social Science","History, Archaeology & Fine Arts","Western Art","English","Global Open Text-Books","Kathy Curnow, Cleveland State University","2018","OPENTEXT134"
"3644","Books","Open Signals and Systems Laboratory Exercises","Engineering and Technology","Electronics and Telecommunications Engineering","Signals & System","English","Global Open Text-Books","Andrew K. Bolstad, Julie A. Dickerson, Iowa State University","2021","OPENTEXT133"
"3643","Books","Visuals for influence: in project management and beyond","Student Engagement/Enrichment & Life Skills","Soft-Skills Series","Soft Skill and Leadership","English","Global Open Text-Books","Bronte van der Hoorn, University of Southern Queensland","2021","9780648769866"
"3642","Books","Genetics, Agriculture, and Biotechnology","Sciences, Agriculture & Veterinary, Nutrition & Dietetics","Agriculture Sciences/Technology & Horticulture/Forestry Sciences","Biotechnology in Agriculture","English","Global Open Text-Books","Walter Suza, Iowa State University  Donald Lee, University of Nebraska-Lincoln","2021","OPENTEXT132"
"3641","Books","Basic Concepts of Structural Design for Architecture Students","Engineering and Technology","Architecture","Building Information","English","Global Open Text-Books","Anahita Khodadadi","2021","OPENTEXT131"
"3640","Books","Foundations of Educational Technology","Humanities & Social Science","Education & Early Childhood Education","Educational Technology","English","Global Open Text-Books","Penny Thompson, Oklahoma State University","2017","OPENTEXT130"
"3639","Books","Mostly Harmless Statistics","Sciences, Agriculture & Veterinary, Nutrition & Dietetics","Mathematics and Statistics","Introductory Statistics","English","Global Open Text-Books","Rachel L. Webb, Portland State University","2021","OPENTEXT129"
"3638","Books","Human Development","Humanities & Social Science","Psychology","Developmental Psychology","English","Global Open Text-Books","Human Development Teaching and Learning Group , Portland State University","2021","OPENTEXT128"
"3637","Books","Humanizing Science through STEAM Challenges","Humanities & Social Science","Core Humanities (Applied across all Humanities Streams)","CORE Subjects of Humanities","English","Global Open Text-Books","EunJin Bahng & John Hauptman, Iowa State University","2021","OPENTEXT128"
"3636","Books","Introduction to Narrative Journalism","Humanities & Social Science","Mass Media & Journalism/Movie & Film Production","Media Studies & Journalism","English","Global Open Text-Books","Benjamin Wielechowski, University of Michigan-Dearborn","2021","OPENTEXT127"
"3635","Books","Impact of Materials on Society","Engineering and Technology","Core Engineering/ First Year Engineering Subjects","Introduction to Engineering & Problem solving","English","Global Open Text-Books","Sophia Krzys Acord, Kevin S. Jones & Marsha Bryant, University of Florida","2021","9781944455248"
"3634","Books","Arguments in Context","Humanities & Social Science","Philosophy","Logic and Reasoning","English","Global Open Text-Books","Thaddeus Robinson, Muhlenberg College","2021","OPENTEXT126"
"3633","Books","Public Health in Pharmacy Practice: A Casebook - 2nd Edition","Medical and Allied Health","Pharmacy","Pharmacy Practice","English","Global Open Text-Books","Jordan R Covvey, Duquesne University School of Pharmacy  Vibhuti Arya, St John’s University College of Pharmacy and Health Sciences  Natalie A. DiPietro Mager, Ohio Northern University Raabe College of Pharmacy","2021","9781942341840"
"3632","Books","Intermediate Statistics with R","Business and Management","Decision Sciences/Statistics & Operation Research","Statistics for Management","English","Global Open Text-Books","Mark C. Greenwood, Montana State University","2021","OPENTEXT126"
"3631","Books","Advanced Public Speaking","Student Engagement/Enrichment & Life Skills","Soft-Skills Series","Public Speaking","English","Global Open Text-Books","Lynn Meade, University of Arkansas","2021","OPENTEXT125"
"3630","Books","Introduction to Criminal Investigation: Processes, Practices and Thinking","Law and Legal Studies","Legal Education & Social Science","Social Science in Legal Education","English","Global Open Text-Books","Rod Gehl, Justice Institute of British Columbia  Darryl Plecas, University of the Fraser Valley","2017","OPENTEXT124"
"3629","Books","Future Energy: Opportunities & Challenges","Engineering and Technology","Nuclear Engineering & Energy Technology","Future Energy","English","Global Open Text-Books","Thomas W. Kerlin, University of Tennessee","2013","OPENTEXT123"
"3628","Books","Climate Lessons: Environmental, Social, Local","Sciences, Agriculture & Veterinary, Nutrition & Dietetics","Core Science Subjects (Applied across Science Steams)","CORE Science Subjects","English","Global Open Text-Books","Marja Bakermans, Worcester Polytechnic Institute","2021","OPENTEXT113"
"3627","Books","The Environmental Politics and Policy of Western Public Lands","Humanities & Social Science","Political Science & Public Policy","Public Policy","English","Global Open Text-Books","Erika Allen Wolters & Brent S. Steel, Oregon State University","2020","OPENTEXT122"
"3626","Books","Library 160: Introduction to College-Level Research","Humanities & Social Science","Library & Information Studies","Introduction to Library Science/Studies","English","Global Open Text-Books","Iowa State University Library Instruction Services , Iowa State University","2021","OPENTEXT121"
"3625","Books","Introduction to Education: Becoming a Professional","Humanities & Social Science","Education & Early Childhood Education","Introduction to Education & Learning","English","Global Open Text-Books","Jennifer Beasley & Myra Haulmark, University of Arkansas","2021","OPENTEXT120"
"3624","Books","Guide to Byzantine Art","Humanities & Social Science","History, Archaeology & Fine Arts","Western Art","English","Global Open Text-Books","Evan Freeman, Smarthistory  Anne McClanan , Portland State University","2021","OPENTEXT119"
"3623","Books","Informal Calculus with Applications to Biological and Environmental Sciences","Humanities & Social Science","Core Humanities (Applied across all Humanities Streams)","CORE Subjects of Humanities","English","Global Open Text-Books","Tyler Seacrest, University of Montana Western  Debbie Seacrest, Rebekah Levine, Michele Anderson, University of Montana Western","2021","OPENTEXT119"
"3622","Books","Graduate Research Methods in Social work","Humanities & Social Science","Social Work & Social Welfare","Social Work Research","English","Global Open Text-Books","Matt DeCarlo, La Salle University  Cory Cummings, Nazareth University  Kate Agnelli, Virginia Commonwealth University","2021","9781949373219"
"3621","Books","Political Ideologies and Worldviews: An Introduction","Humanities & Social Science","Political Science & Public Policy","Western Political Thinkers","English","Global Open Text-Books","Valérie Vézina, Kwantlen Polytechnic University","2021","9781989864241"
"3620","Books","Small Group Communication: Forming & Sustaining Teams","Business and Management","Professional Communication Skills","Interpersonal Skills","English","Global Open Text-Books","Jasmine R. Linabary & Moon Castro, Emporia State University","2021","OPENTEXT118"
"3619","Books","Engineering Statics: Open and Interactive","Engineering and Technology","Core Engineering/ First Year Engineering Subjects","Engineering Mechanics/Geology","English","Global Open Text-Books","Daniel W. Baker, Colorado State University  William Haynes, Massachusetts Maritime Academy","2020","OPENTEXT118"
"3618","Books","Ports and Waterways: Navigating the changing world","Engineering and Technology","Civil, Structural & Construction Engineering","Geotechnical Engineering","English","Global Open Text-Books","Mark van Koningsveld, Henk Verheij, Poonam Taneja at TU Delft  & Huib de Vriend, Delft University of Technology","2021","9789463664448"
"3617","Books","Religion in the Law: An Open Access Casebook - First Edition","Law and Legal Studies","Legal Education & Social Science","Social Science in Legal Education","English","Global Open Text-Books","Joe Dunman, Morehead State University","2021","OPENTEXT117"
"3616","Books","Food Product Development Lab Manual","Sciences, Agriculture & Veterinary, Nutrition & Dietetics","Nutrition and Dietetics","Human Nutrition","English","Global Open Text-Books","Ken Prusa & Kate Gilbert, Iowa State University","2021","OPENTEXT116"
"3615","Books","Oral Communication for Non-Native Speakers of English","Student Engagement/Enrichment & Life Skills","Soft-Skills Series","Public Speaking","English","Global Open Text-Books","Timothy Kochem, Monica G. Ghosh, Lily Compton, Elena Cotos, Iowa State University","2020","OPENTEXT115"
"3614","Books","Fundamentals, Function, and Form: Theory and Analysis of Tonal Western Art Music","Humanities & Social Science","Music & Instrumental Music","Instrumental Music","English","Global Open Text-Books","Andre Mount , SUNY Potsdam","2020","9781942341994"
"3613","Books","Music in World Cultures","Humanities & Social Science","Music & Instrumental Music","Instrumental Music","English","Global Open Text-Books","Matthew Mihalka & Justin R. Hunter, University of Arkansas","2021","OPENTEXT114"
"3612","Books","ਨਿੱਜੀ ਸੁਰੱ ਖਿਆ (Niji Surakhya Class IX)","Punjab State School Books","Class 9","Personal Safety","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB09679"
"3610","Books","A Practice Book of English Grammar and Composition","Punjab State School Books","Class 9","English","English","Free Books","D V Jindal, Harjit Vasudeva","2021","PSBTB09671"
